Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	03.08.2025	4:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	5:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	5:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	5:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	5:45:00	LP: A-_T0	69051391	160	0,0064	0,0016	0
 0497330635	03.08.2025	6:00:00	LP: A-_T0	69051391	160	1,9648	0,4912	0
 0497330635	03.08.2025	6:15:00	LP: A-_T0	69051391	160	7,1296	1,7824	0
 0497330635	03.08.2025	6:30:00	LP: A-_T0	69051391	160	15,2128	3,8032	0
 0497330635	03.08.2025	6:45:00	LP: A-_T0	69051391	160	26,1824	6,5456	0
 0497330635	03.08.2025	7:00:00	LP: A-_T0	69051391	160	29,5424	7,3856	0
 0497330635	03.08.2025	7:15:00	LP: A-_T0	69051391	160	38,912	9,728	0
 0497330635	03.08.2025	7:30:00	LP: A-_T0	69051391	160	79,4944	19,8736	0
 0497330635	03.08.2025	7:45:00	LP: A-_T0	69051391	160	106,7456	26,6864	0
 0497330635	03.08.2025	8:00:00	LP: A-_T0	69051391	160	117,0304	29,2576	0
 0497330635	03.08.2025	8:15:00	LP: A-_T0	69051391	160	164,5632	41,1408	0
 0497330635	03.08.2025	8:30:00	LP: A-_T0	69051391	160	121,2224	30,3056	0
 0497330635	03.08.2025	8:45:00	LP: A-_T0	69051391	160	61,5424	15,3856	0
 0497330635	03.08.2025	9:00:00	LP: A-_T0	69051391	160	56,7296	14,1824	0
 0497330635	03.08.2025	9:15:00	LP: A-_T0	69051391	160	45,0688	11,2672	0
 0497330635	03.08.2025	9:30:00	LP: A-_T0	69051391	160	46,1568	11,5392	0
 0497330635	03.08.2025	9:45:00	LP: A-_T0	69051391	160	35,9872	8,9968	0
 0497330635	03.08.2025	10:00:00	LP: A-_T0	69051391	160	39,776	9,944	0
 0497330635	03.08.2025	10:15:00	LP: A-_T0	69051391	160	45,8496	11,4624	0
 0497330635	03.08.2025	10:30:00	LP: A-_T0	69051391	160	76,2688	19,0672	0
 0497330635	03.08.2025	10:45:00	LP: A-_T0	69051391	160	87,168	21,792	0
 0497330635	03.08.2025	11:00:00	LP: A-_T0	69051391	160	80,3584	20,0896	0
 0497330635	03.08.2025	11:15:00	LP: A-_T0	69051391	160	87,2064	21,8016	0
 0497330635	03.08.2025	11:30:00	LP: A-_T0	69051391	160	110,6496	27,6624	0
 0497330635	03.08.2025	11:45:00	LP: A-_T0	69051391	160	126,5024	31,6256	0
 0497330635	03.08.2025	12:00:00	LP: A-_T0	69051391	160	168,4736	42,1184	0
 0497330635	03.08.2025	12:15:00	LP: A-_T0	69051391	160	118,7328	29,6832	0
 0497330635	03.08.2025	12:30:00	LP: A-_T0	69051391	160	84,4032	21,1008	0
 0497330635	03.08.2025	12:45:00	LP: A-_T0	69051391	160	138,6496	34,6624	0
 0497330635	03.08.2025	13:00:00	LP: A-_T0	69051391	160	249,6512	62,4128	0
 0497330635	03.08.2025	13:15:00	LP: A-_T0	69051391	160	369,4784	92,3696	0
 0497330635	03.08.2025	13:30:00	LP: A-_T0	69051391	160	415,5456	103,8864	0
 0497330635	03.08.2025	13:45:00	LP: A-_T0	69051391	160	353,344	88,336	0
 0497330635	03.08.2025	14:00:00	LP: A-_T0	69051391	160	377,1072	94,2768	0
 0497330635	03.08.2025	14:15:00	LP: A-_T0	69051391	160	423,3984	105,8496	0
 0497330635	03.08.2025	14:30:00	LP: A-_T0	69051391	160	364,384	91,096	0
 0497330635	03.08.2025	14:45:00	LP: A-_T0	69051391	160	381,7024	95,4256	0
 0497330635	03.08.2025	15:00:00	LP: A-_T0	69051391	160	375,2192	93,8048	0
 0497330635	03.08.2025	15:15:00	LP: A-_T0	69051391	160	363,168	90,792	0
 0497330635	03.08.2025	15:30:00	LP: A-_T0	69051391	160	330,8736	82,7184	0
 0497330635	03.08.2025	15:45:00	LP: A-_T0	69051391	160	346,72	86,68	0
 0497330635	03.08.2025	16:00:00	LP: A-_T0	69051391	160	286,2912	71,5728	0
 0497330635	03.08.2025	16:15:00	LP: A-_T0	69051391	160	321,44	80,36	0
 0497330635	03.08.2025	16:30:00	LP: A-_T0	69051391	160	194,0288	48,5072	0
 0497330635	03.08.2025	16:45:00	LP: A-_T0	69051391	160	219,7952	54,9488	0
 0497330635	03.08.2025	17:00:00	LP: A-_T0	69051391	160	207,8656	51,9664	0
 0497330635	03.08.2025	17:15:00	LP: A-_T0	69051391	160	158,5216	39,6304	0
 0497330635	03.08.2025	17:30:00	LP: A-_T0	69051391	160	302,6432	75,6608	0
 0497330635	03.08.2025	17:45:00	LP: A-_T0	69051391	160	235,4304	58,8576	0
